DeviceId,DeviceName,OSPlatform,OSVersion,OSArchitecture,SoftwareVendor,SoftwareName,SoftwareVersion,CveId,VulnerabilitySeverityLevel,RecommendedSecurityUpdate,RecommendedSecurityUpdateId,CveTags,CveMitigationStatus
,server01.<domain>.com,WindowsServer2019,10.0.17763.5206,x64,microsoft,windows_server_2019,10.0.17763.5206,CVE-2022-35737,High,January 2024 Security Updates,5034127,[],Fixed
,server01.<domain>.com,WindowsServer2019,10.0.17763.5206,x64,microsoft,windows_server_2019,10.0.17763.5206,CVE-2024-20652,High,January 2024 Security Updates,5034127,[],Fixed
,server01.<domain>.com,WindowsServer2019,10.0.17763.5206,x64,microsoft,windows_server_2019,10.0.17763.5206,CVE-2024-20653,High,January 2024 Security Updates,5034127,[],Fixed
,server01.<domain>.com,WindowsServer2019,10.0.17763.5206,x64,microsoft,windows_server_2019,10.0.17763.5206,CVE-2024-20654,High,January 2024 Security Updates,5034127,[],Fixed
,server01.<domain>.com,WindowsServer2019,10.0.17763.5206,x64,microsoft,windows_server_2019,10.0.17763.5206,CVE-2024-20698,High,January 2024 Security Updates,5034127,[],Fixed
,server01.<domain>.com,WindowsServer2019,10.0.17763.5206,x64,microsoft,windows_server_2019,10.0.17763.5206,CVE-2024-20700,High,January 2024 Security Updates,5034127,[],Fixed
,server01.<domain>.com,WindowsServer2019,10.0.17763.5206,x64,microsoft,windows_server_2019,10.0.17763.5206,CVE-2024-21307,High,January 2024 Security Updates,5034127,[],Fixed
,server01.<domain>.com,WindowsServer2019,10.0.17763.5206,x64,microsoft,windows_server_2019,10.0.17763.5206,CVE-2024-21310,High,January 2024 Security Updates,5034127,[],Fixed
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20652,High,January 2024 Security Updates,5034119,[],Fixed
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20653,High,January 2024 Security Updates,5034119,[],Fixed
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20654,High,January 2024 Security Updates,5034119,[],Fixed
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20657,High,January 2024 Security Updates,5034119,[],Fixed
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20658,High,January 2024 Security Updates,5034119,[],Fixed
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20661,High,January 2024 Security Updates,5034119,[],Fixed
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20674,High,January 2024 Security Updates,5034119,[],
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20682,High,January 2024 Security Updates,5034119,[],
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20683,High,January 2024 Security Updates,5034119,[],
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20687,High,January 2024 Security Updates,5034119,[],
,server02.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-21307,High,January 2024 Security Updates,5034119,[],
,server03.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20652,High,January 2024 Security Updates,5034119,[],
,server03.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20653,High,January 2024 Security Updates,5034119,[],
,server03.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20654,High,January 2024 Security Updates,5034119,[],
,server03.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20657,High,January 2024 Security Updates,5034119,[],
,server03.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20658,High,January 2024 Security Updates,5034119,[],
,server03.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20661,High,January 2024 Security Updates,5034119,[],
,server03.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20674,High,January 2024 Security Updates,5034119,[],
,server03.<domain>.com,WindowsServer2016,10.0.14393.6529,x64,microsoft,windows_server_2016,10.0.14393.6529,CVE-2024-20682,High,January 2024 Security Updates,5034119,[],
